Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
A1BG	142.094456	83.07415917	123.0764749	91.88445867
A1BG-AS1	65.57827203	40.13800184	49.67683423	42.17480563
A1CF	9.689588168	11.34099741	11.90305666	9.928670882
A2M	30.00696753	42.70658592	26.44832928	30.27542282
A2M-AS1	24.66823946	35.15292509	304.4385028	23.92958551
A2ML1	11.4942649	12.00851462	11.45801843	10.94435543
A4GALT	55.11156421	48.94833527	57.88301917	59.26429301
A4GNT	23.6267162	20.82124338	20.66970869	21.53913664
AA06	22.07424625	21.75186053	23.39722988	23.98651323
AAAS	61.90877917	154.6075814	135.8687168	138.7114838
AACS	339.7328841	260.7428996	152.8266104	372.4659092
AACSP1	13.55420862	13.6647324	15.51290898	12.99556078
AADAC	15.13529095	15.87584464	14.91083565	13.11331427
AADACL2	9.861953448	9.979991714	9.641189923	9.664694585
AADAT	13.04809204	11.51662132	12.11741761	13.56917654
AAED1	469.0795201	185.1715639	189.9965564	1286.161228
AAGAB	214.4408835	181.6893828	148.2904553	248.6969124
AAK1	21.03090211	30.88861825	34.10614492	29.65696425
AAMDC	60.47383399	42.71557809	50.82606313	44.92390353
AAMP	464.0814081	359.7917295	354.6063041	454.4812571
AANAT	14.70837117	12.97746474	15.65417412	15.2307842
AAR2	213.4651046	290.7337996	280.828836	257.4757902
AARS	426.4669262	436.397453	430.3104374	335.4309319
AARS2	112.9601424	114.1679179	120.2035547	106.1681022
AASDH	284.9936388	234.9945375	211.7062333	224.2998811
AASDHPPT	816.7184273	588.6609741	584.1110481	767.6146166
AASS	14.85455877	20.22690547	17.6768715	21.96480421
AATF	1302.119732	1225.266554	1212.269174	1155.031927
AATK	29.53861669	32.93895587	30.9127398	36.47625898
ABAT	145.568217	283.4206983	206.7022919	349.2979254
ABCA1	223.8052365	42.58086944	23.0328645	9.730441576
ABCA11P	79.53427997	28.99673801	32.96311325	24.78803111
ABCA12	8.776516288	9.463649709	9.159742959	7.940071631
ABCA13	7.981870036	8.248483769	8.262336008	8.010154784
