proper_names	mapping_vec
ENSG00000000003	TSPAN6
ENSG00000000005	TNMD
ENSG00000000419	DPM1
ENSG00000000457	SCYL3
ENSG00000000460	C1orf112
ENSG00000000938	FGR
ENSG00000000971	CFH
ENSG00000001036	FUCA2
ENSG00000001084	GCLC
ENSG00000001167	NFYA
ENSG00000001460	STPG1
ENSG00000001461	NIPAL3
ENSG00000001497	LAS1L
ENSG00000001561	ENPP4
ENSG00000001617	SEMA3F
ENSG00000001626	CFTR
ENSG00000001629	ANKIB1
ENSG00000001631	KRIT1
ENSG00000002016	RAD52
ENSG00000002079	MYH16
ENSG00000002330	BAD
ENSG00000002549	LAP3
ENSG00000002586	CD99
ENSG00000002587	HS3ST1
ENSG00000002726	AOC1
ENSG00000002745	WNT16
ENSG00000002746	HECW1
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000002919	SNX11
ENSG00000002933	TMEM176A
ENSG00000003056	M6PR
ENSG00000003096	KLHL13
ENSG00000003137	CYP26B1
ENSG00000003147	ICA1
ENSG00000003249	DBNDD1
ENSG00000003393	ALS2
ENSG00000003400	CASP10
ENSG00000003402	CFLAR
ENSG00000003436	TFPI
ENSG00000003509	NDUFAF7
ENSG00000003756	RBM5
ENSG00000003987	MTMR7
ENSG00000003989	SLC7A2
ENSG00000004059	ARF5
ENSG00000004139	SARM1
ENSG00000004142	POLDIP2
ENSG00000004399	PLXND1
ENSG00000004455	AK2
ENSG00000004468	CD38
ENSG00000004478	FKBP4
ENSG00000004487	KDM1A
ENSG00000004534	RBM6
ENSG00000004660	CAMKK1
ENSG00000004700	RECQL
ENSG00000004766	VPS50
ENSG00000004776	HSPB6
ENSG00000004777	ARHGAP33
ENSG00000004779	NDUFAB1
ENSG00000004799	PDK4
ENSG00000004809	SLC22A16
ENSG00000004838	ZMYND10
ENSG00000004846	ABCB5
ENSG00000004848	ARX
ENSG00000004864	SLC25A13
ENSG00000004866	ST7
ENSG00000004897	CDC27
ENSG00000004939	SLC4A1
ENSG00000004948	CALCR
ENSG00000004961	HCCS
ENSG00000004975	DVL2
ENSG00000130224	LRCH2
ENSG00000130226	DPP6
ENSG00000130227	XPO7
ENSG00000130234	ACE2
ENSG00000130244	FAM98C
ENSG00000130254	SAFB2
ENSG00000130255	RPL36
ENSG00000130270	ATP8B3
ENSG00000130287	NCAN
ENSG00000130294	KIF1A
ENSG00000130299	GTPBP3
ENSG00000130300	PLVAP
ENSG00000130303	BST2
ENSG00000130304	SLC27A1
ENSG00000130305	NSUN5
ENSG00000130309	COLGALT1
ENSG00000130311	DDA1
ENSG00000130312	MRPL34
ENSG00000130313	PGLS
ENSG00000130332	LSM7
ENSG00000130338	TULP4
ENSG00000130340	SNX9
ENSG00000130347	RTN4IP1
ENSG00000130348	QRSL1
ENSG00000130349	MTRES1
ENSG00000130363	RSPH3
ENSG00000130368	MAS1
ENSG00000130377	ACSBG2
ENSG00000130382	MLLT1
ENSG00000130383	FUT5
ENSG00000130385	BMP15
ENSG00000130396	AFDN
ENSG00000130402	ACTN4
ENSG00000130413	STK33
ENSG00000130414	NDUFA10
ENSG00000130427	EPO
ENSG00000130429	ARPC1B
ENSG00000130433	CACNG6
ENSG00000130449	ZSWIM6
ENSG00000130475	FCHO1
ENSG00000130477	UNC13A
ENSG00000130479	MAP1S
ENSG00000130487	KLHDC7B
ENSG00000130489	
ENSG00000130508	PXDN
ENSG00000130511	SSBP4
ENSG00000130513	GDF15
ENSG00000130517	PGPEP1
ENSG00000130518	IQCN
ENSG00000130520	
ENSG00000130522	JUND
ENSG00000130528	HRC
ENSG00000130529	TRPM4
ENSG00000130540	SULT4A1
ENSG00000130544	ZNF557
ENSG00000130545	CRB3
ENSG00000130558	OLFM1
ENSG00000130559	CAMSAP1
ENSG00000130560	UBAC1
ENSG00000130561	SAG
ENSG00000130584	ZBTB46
ENSG00000130589	HELZ2
ENSG00000130592	LSP1
ENSG00000130595	TNNT3
ENSG00000130598	TNNI2
ENSG00000130600	H19
ENSG00000130635	COL5A1
ENSG00000130638	ATXN10
ENSG00000130640	TUBGCP2
ENSG00000130643	CALY
ENSG00000130649	CYP2E1
ENSG00000130653	PNPLA7
ENSG00000130669	PAK4
ENSG00000130675	MNX1
ENSG00000130684	ZNF337
ENSG00000130695	CEP85
ENSG00000130699	TAF4
ENSG00000130700	GATA5
ENSG00000130701	RBBP8NL
ENSG00000130702	LAMA5
ENSG00000130703	OSBPL2
ENSG00000130706	ADRM1
ENSG00000130707	ASS1
ENSG00000130711	PRDM12
ENSG00000130713	EXOSC2
ENSG00000130714	POMT1
ENSG00000130717	UCK1
ENSG00000130720	FIBCD1
ENSG00000130723	PRRC2B
ENSG00000130724	CHMP2A
ENSG00000130725	UBE2M
ENSG00000130726	TRIM28
ENSG00000130731	METTL26
ENSG00000130733	YIPF2
ENSG00000130734	ATG4D
