	GSM2601334	GSM2601335	GSM2601336	GSM2601337	GSM2601338	GSM2601339	GSM2601340	GSM2601341	GSM2601342	GSM2601343	GSM2601344	GSM2601345	GSM2601346	GSM2601347	GSM2601348	GSM2601349	GSM2601350	GSM2601351	GSM2601352	GSM2601353	GSM2601354	GSM2601355	GSM2601356	GSM2601357	GSM2601358	GSM2601359	GSM2601360	GSM2601361	GSM2601362	GSM2601363	GSM2601364	GSM2601365	GSM2601366	GSM2601367	GSM2601368	GSM2601369	GSM2601370	GSM2601371	GSM2601372	GSM2601373	GSM2601374	GSM2601375	GSM2601376	GSM2601377	GSM2601378	GSM2601379	GSM2601380	GSM2601381	GSM2601382	GSM2601383	GSM2601384	GSM2601385	GSM2601386	GSM2601387	GSM2601388	GSM2601389	GSM2601390	GSM2601391	GSM2601392	GSM2601393	GSM2601394	GSM2601395	GSM2601396	GSM2601397	GSM2601398	GSM2601399	GSM2601400	GSM2601401	GSM2601402	GSM2601403	GSM2601404	GSM2601405	GSM2601406	GSM2601407	GSM2601408	GSM2601409	GSM2601410	GSM2601411	GSM2601412	GSM2601413	GSM2601414	GSM2601415	GSM2601416	GSM2601417	GSM2601418	GSM2601419	GSM2601420	GSM2601421	GSM2601422	GSM2601423	GSM2601424	GSM2601425	GSM2601426	GSM2601427	GSM2601428	GSM2601429	GSM2601430	GSM2601431	GSM2601432	GSM2601433	GSM2601434	GSM2601435	GSM2601436	GSM2601437	GSM2601438	GSM2601439	GSM2601440	GSM2601441	GSM2601442	GSM2601443	GSM2601444	GSM2601445	GSM2601446	GSM2601447	GSM2601448	GSM2601449	GSM2601450	GSM2601451	GSM2601452	GSM2601453	GSM2601454	GSM2601455	GSM2601456	GSM2601457	GSM2601458	GSM2601459	GSM2601460	GSM2601461	GSM2601462	GSM2601463	GSM2601464	GSM2601465	GSM2601466	GSM2601467	GSM2601468	GSM2601469	GSM2601470
REACTOME_ONCOGENE_INDUCED_SENESCENCE	0.287675455693338	-0.315056871451119	-0.284170953339976	0.404289663587063	-0.244631738206884	-0.383681018352303	0.248100770908788	0.310421628555019	-0.291305247256738	-0.320245120426001	-0.443627541162884	0.271724601729495	-0.333156308072384	-0.327820551984279	-0.213909335570315	-0.235693952122367	-0.286883270501454	-0.337082753948564	-0.241949403821421	-0.282768717665475	0.33443702439714	-0.402494724827954	-0.213877511782353	-0.265086369018002	-0.284649417768539	-0.220800177167541	-0.45621545636515	-0.236696969846198	-0.238523881241621	-0.284953240900141	-0.2171977562368	0.340334467784069	-0.424853527647335	-0.231388606301922	-0.381577056819023	-0.247625156952415	-0.227561668562857	0.223694229106141	0.312797516822347	0.326387434504032	-0.393735753249674	-0.242815280539444	-0.278326442869194	0.28640041643822	0.298083978373293	-0.345552796247986	0.211119524463463	-0.359854512134944	-0.338714844280102	0.373761857934983	-0.337819628732843	-0.284442993214861	0.315163551567671	-0.306518242960992	0.290645959506284	0.332052228256028	-0.331286307706192	-0.243076497697502	0.300916126787049	-0.181858182534537	-0.395315446767715	-0.387287126880299	-0.449567767749184	-0.224958078144002	0.267163836919283	-0.479708598260376	-0.415660584797292	-0.34755218953046	0.281524614007575	-0.250099182723347	0.235317920151012	-0.254647498663062	0.326536441119456	-0.242265250576122	-0.230147626543633	-0.317797238626949	-0.242545999730754	-0.371548560096386	0.317460020183044	0.33850234686681	-0.237652288450188	-0.277638782210159	0.261900171267334	-0.272707762441499	0.252623822386962	0.314446772146822	-0.253904317516148	0.313327184575074	-0.262687000791601	-0.27394212811973	-0.463022793405482	0.361114031544296	-0.275275872652334	0.367864816088588	-0.271440173470447	0.262333891294724	0.288502448062069	-0.481688037558222	-0.427430049855138	-0.301813613161089	0.269167558561644	-0.321938100008763	-0.372970004320196	0.229914888383579	0.33248011818863	-0.317530494655406	0.236584479458684	-0.316170441049506	-0.301101654667769	0.290899828150657	0.366758601205186	0.258193547481056	-0.261147565021616	0.191424110258709	0.427874295895962	0.375107626694626	0.408530380590476	-0.333244357211073	-0.303499098513784	0.251961476105251	0.260482019209017	0.195346167101406	0.358647372517701	-0.297095773838842	-0.24561275692669	-0.326698712216846	0.427726090192542	0.291307512710497	-0.444154935800806	0.425812102792171	-0.333222177632137	-0.306392977950884	0.295228173831838	-0.301421302572648	0.270642590424366	-0.279916329995592	-0.325043462171141
SASP	0.245361519576886	0.359662898046765	-0.279190877063636	-0.220900136357614	0.367920959033254	0.369707979792251	0.175290516503146	-0.30052239264383	0.376815026348819	0.356851046513611	0.356555900047916	-0.256593760267085	0.418029673537254	-0.339317889852764	0.218225242484295	0.183463420770616	0.318091256433813	0.44226678522304	0.21804431150452	0.187880099046095	-0.455568908118577	0.240539434758308	0.50633867343945	0.357412569128359	0.448504923330624	-0.351354502683098	0.444320545969414	0.269378331527917	-0.199237945683741	0.497173928635946	-0.176468602327919	-0.23020174495528	0.446601495731176	-0.221123991412644	-0.490121673151869	-0.309934291143679	-0.277000388860499	-0.379139487377141	0.515062460806156	0.406254868256253	-0.243529828048809	0.165379095473912	0.201977323078089	0.301202885600582	-0.418009258886639	0.329626661159345	-0.422881708606124	0.403333323445356	-0.24311425963028	-0.423693207354085	0.599053167764328	0.339244746952461	-0.531182362728886	0.187139975810632	-0.267763097115978	-0.300557976720231	0.325777011166235	-0.512628350700137	-0.332987316365526	-0.235541406256758	0.293772392321817	-0.307141483977472	-0.390577805923952	0.24997398477224	-0.181975512689713	-0.216349738603152	0.454876700524424	-0.521660387060798	-0.260170779114921	0.258996042187893	0.227709972599039	0.316691257176144	-0.529730104779999	-0.343432179330867	0.30888044573164	0.393240241578036	-0.298637991719638	0.517533642066228	-0.465628800292567	0.261149282701625	-0.265230697305135	-0.259711063902292	0.249294351957718	0.186064159140229	0.457399611695865	-0.386535631543344	0.40012274462191	-0.249843945028466	-0.428694106006474	0.305205988250348	-0.403659754961501	0.479125791774187	0.548016701656269	-0.192981239680068	0.234198425573153	0.389880090219986	-0.282828256428539	-0.283048314950668	-0.31597057438528	0.331291036730686	-0.490005292029794	0.316526023275705	-0.29343549601975	-0.428802433497053	-0.425465541226673	0.344026161122157	-0.157034604630303	-0.534342259799343	0.169266122359038	-0.507499770178452	-0.195614069218084	0.566236537152772	-0.343035110067649	-0.363046934428815	-0.446515110794878	-0.355696214974331	0.18014135133082	0.540225993690347	-0.237394521849614	0.317995291502592	-0.35489344347691	-0.396810326654987	-0.534798246772017	-0.46579054508219	-0.186838565569789	-0.31150671507882	-0.358853988151974	0.240210226745519	-0.219385937276984	-0.436834996068732	-0.255908366400898	-0.350414532147206	0.235662939721669	0.21381765355977	0.415595867475637	-0.159847013639955	-0.172266334066863
Senescence Associated Secretor Phenotype	-0.461072195490533	-0.451168451157124	-0.542327199497321	-0.462220086084133	-0.447866113950733	-0.454302048273155	-0.487817666655179	-0.515516010976079	-0.460116570976075	-0.456512960346792	-0.443631362951405	-0.507136459880557	-0.468525270624317	-0.547502911103627	-0.430171861314775	-0.456791919840012	-0.462016281276296	-0.450158247655827	-0.497193992972258	-0.460781981550488	-0.604592366206337	-0.468482842783853	-0.457318442513475	-0.459062994806127	-0.449218762487112	-0.499125525774125	-0.46196909160904	-0.457874313516695	-0.473563897768037	-0.451349589166153	-0.459417639283683	-0.509850193106103	-0.452830807879606	-0.463151695099979	-0.646814175029464	-0.521825129314169	-0.507281433657768	-0.567146162092337	-0.437573810268168	-0.473335201999451	-0.501215678116847	-0.487606642299498	-0.452869762699907	-0.45187327565713	-0.562100310384966	-0.443940142204144	-0.575154863010796	-0.436838813282362	-0.512726206958901	-0.570494992520663	-0.453731812115827	-0.45246077720605	-0.647135251069003	-0.463119739600658	-0.545756774929094	-0.484651396763781	-0.451794744543035	-0.623776166940847	-0.530547514526609	-0.507975332681896	-0.464310981456119	-0.50759900784431	-0.569935490229159	-0.468558580295952	-0.466873704637114	-0.495123462400976	-0.467465385454614	-0.631217506719584	-0.495185937808187	-0.453964980292558	-0.471720927362488	-0.454386483412666	-0.658538329607325	-0.581854370875746	-0.466899079423204	-0.447219966208462	-0.527620117691509	-0.448006717321245	-0.588495767824952	-0.46592872091984	-0.504384532043863	-0.494449838575811	-0.455913937742133	-0.49578010053527	-0.451775398861346	-0.540398328970637	-0.45973072009117	-0.508102792587876	-0.563253829115344	-0.457585074338661	-0.571765149582939	-0.460039413083039	-0.452015797013328	-0.458401546791444	-0.451029379733216	-0.441528574006572	-0.503022702504659	-0.447346457686241	-0.55015781638036	-0.452229714441066	-0.557401128345887	-0.430994135430402	-0.505919467203189	-0.552126628753435	-0.558557752066694	-0.461421801367685	-0.502608953251599	-0.624378517192109	-0.477822992187893	-0.653434000135231	-0.486977807666648	-0.458688506041806	-0.573553751528098	-0.529737879939344	-0.62760098672685	-0.547591730947902	-0.444046381860177	-0.454976648184903	-0.477080760373135	-0.462791398285307	-0.561534756639616	-0.539463620054827	-0.650841353546648	-0.594214578205641	-0.467913919162548	-0.513314931628408	-0.553583341769817	-0.461652961301164	-0.471234787059733	-0.586644235521765	-0.52636469185272	-0.512603567038851	-0.468336488478934	-0.487364218313466	-0.466118085115238	-0.495110767029995	-0.452077029102689
Senescence_UP	-0.339255606868388	-0.215101399786795	-0.250541476171386	-0.261562156397686	0.214647578018037	-0.176826591617231	-0.293978246324219	-0.322879262813521	0.181409655036452	0.267930872556796	-0.237530403133057	-0.282557766906256	0.226690861707803	-0.269909358108099	-0.191897788099011	-0.181292468096067	-0.225648999033315	0.250530944249627	-0.306551928847435	-0.204880495447288	-0.412721377323218	0.260190701217626	0.306091970630892	-0.226523103505522	0.230598498949944	-0.220400427731038	-0.168449363963822	0.269118976933093	-0.28910257560771	0.193980935533691	-0.282017845882576	-0.22677446700359	-0.241852857073764	-0.296195173821118	-0.177777592037572	-0.320273926159249	-0.277938800282386	-0.257781841414704	-0.279608888215328	-0.197648760390876	-0.197293186162781	-0.298388911861501	-0.231759785470893	-0.217259382256679	-0.366481036118324	-0.198758608804475	-0.387075795434439	0.201675367136708	-0.259589106763826	-0.323904106567334	0.294766981121613	0.181833340986962	-0.310796150218717	-0.249501142194488	0.187978106545485	-0.24184356013658	0.209153897218602	0.206739327118706	-0.232254438798676	-0.187774800598451	0.348816249201013	-0.282735402958657	-0.171129155610739	0.217246185875109	-0.209268792466183	0.19766545693621	0.279851760110166	-0.206988980968899	0.249794673502841	0.27685934273413	0.189411388733377	-0.326060007223607	0.211991211794849	0.241082324854621	0.270861246615362	-0.237568796414435	-0.185691943131463	0.190306498237991	-0.239443492158535	-0.202395745822523	0.200403597331164	0.188537184282332	-0.219594082575279	0.345942003776204	0.20022470564078	-0.333805377510492	0.266374028641027	-0.306629205400699	-0.250578574126814	0.253191370807478	0.225768928750096	-0.220815824397895	0.341037996687268	-0.311285751569503	0.278510301680022	0.264471247768441	-0.308993419028969	-0.456887319523355	-0.336023029377072	-0.247480771737014	-0.337452993535409	-0.217445160532677	0.340001852205571	-0.2159291668228	-0.256020216546068	0.225432879662457	0.196619125816263	-0.211550240341896	0.240413408844905	-0.328788814748739	0.269286033719591	0.318780236214413	0.20760844850243	0.196462664255784	-0.191905477877476	-0.215438727045324	0.22107519734566	0.425670160453703	0.202895315432727	0.256187494147141	-0.185054364500916	-0.303076825317453	-0.266141311954887	0.269386703557742	-0.211221093164783	-0.188882712813182	-0.227560307561598	-0.219863705250181	-0.206314415090045	-0.174989580887788	-0.22960031564547	-0.197092401492701	0.286847976388484	0.199971616577101	-0.263840858579791	0.291246812229895	-0.248512692769938
SUVARNESS	0.350985590038433	0.714351187736262	-0.653445318464197	-0.284593368265836	0.604172936985038	0.442649952259939	-0.338639542011012	-0.276711480954699	0.57545761709289	0.576008214120543	0.655331436482305	-0.388094195923234	0.590594650343876	-0.361628856161483	0.415258991751152	0.390385815601158	0.420251443696784	0.535614153291896	0.261428934522977	0.286326855076688	-0.682557784928768	0.439348903942681	0.71138241428024	0.407036575326604	0.656446539633844	-0.613686039914852	0.505630133164723	0.462810155622609	0.308167265487164	0.647281041853212	0.276211988217201	0.387153553322504	0.523259521329296	-0.256995231610809	-0.56273910309225	-0.297532288069037	0.232808252012113	-0.301753214097881	0.655570640739616	0.603869307935288	0.23458925541553	0.364988816864689	0.486658693500261	0.491937760947726	-0.529930598210922	0.440430377081775	-0.636458883371449	0.70674532307467	-0.259398896515054	-0.30813007280473	0.710606387963049	0.505640255202738	-0.525380270606194	0.341246349682677	0.339340066068328	-0.451114303518804	0.68631910773163	-0.752721065825399	-0.395252148127171	0.421395879970004	0.571915042607223	0.335175361867654	-0.633696832758183	0.452592195482357	-0.410004332903418	-0.229034342972812	0.697847411071926	-0.637473297795329	-0.439128271120493	0.244867742567047	-0.474100807396009	-0.430133288895121	-0.698087927755905	-0.436177426859176	0.40233051563584	0.529799570713607	-0.590465906982006	0.464140111617513	-0.627337076786206	-0.251980658225825	-0.483428917468084	-0.310952323956458	-0.226230680163518	0.242995086908106	0.683599101893922	-0.541737878399673	0.398642503524069	0.297213472331982	-0.49979862595537	0.30347541569848	-0.636728005202575	0.282959938260245	0.560856109201768	-0.25149335565276	0.363671496798656	0.704149085655058	-0.535294703767901	-0.33331583229606	-0.462061249573951	0.602380297581514	-0.676023582588932	0.438443764880514	-0.204526318142413	-0.732073249493249	-0.644226031333064	-0.220680436022148	-0.469677132983362	-0.606557775587574	-0.310552952287785	-0.74968694770709	-0.533580141356188	0.800962517989656	-0.488662733386001	-0.508248331880595	-0.501352640317745	-0.617418228944936	0.242937622546657	0.70052266844086	-0.552277936685005	0.466123953415079	-0.419948781795786	-0.637949098062555	-0.726223362921489	-0.765338358888432	-0.270896115840102	-0.516226960150822	-0.652808710263199	0.587907604470958	-0.283683594807535	-0.554673851604994	-0.256999499643293	-0.580492139738466	0.27478923918209	0.25121416796897	0.345793661135922	0.169748809711937	-0.471730236362006
TIS down	-0.624340876406793	-0.185655071870584	0.373239487237462	0.5445685928292	-0.528663498479288	-0.210459211402703	-0.202574737248792	0.490882271412732	-0.272575224597359	-0.643062515293217	0.273654880374251	0.35281226108328	-0.531997597458488	-0.351799495532108	0.189159044972112	-0.678298382342735	-0.208399432184562	-0.320325619552764	0.52856956967944	0.359322959778091	0.469165590669758	0.184107716666893	-0.642308000775481	0.325592308780213	-0.749160054273301	0.359878266276974	0.32305554160452	-0.738262039201318	0.163238026255681	-0.551020142170241	0.50211200564763	-0.17454838381534	-0.259251281921665	-0.518744084478667	0.347349375650263	-0.173048522097145	0.412249389412459	0.423506677227927	0.445937025751134	-0.279397979464948	0.394631641828889	-0.310902404734965	-0.486136287806142	-0.197449396293928	0.160931668548894	-0.21814578889205	0.608710522781053	-0.414778218806922	0.443059986543739	0.658615766261949	-0.448448171552639	-0.721180477151335	0.526110330783276	-0.31957565378731	0.380988955654249	0.391156360065517	-0.39765343295401	0.383599325117709	-0.52507084462711	0.479618049590201	0.360585360303795	0.237298249656603	0.390030937168608	-0.654578965924834	0.457804517453401	-0.476610108434659	-0.659371446330581	-0.404630074668547	0.554513965020621	0.230016206708266	0.295573429920703	0.284901685084914	0.610338289903549	0.291754967343899	0.361395320837353	-0.433508656762225	0.457899893979786	-0.624503001843728	0.414383158516869	0.222657604137747	0.457173780052812	0.313027730948699	-0.400482684849435	-0.575000306105766	-0.608053924981746	0.322797227033285	-0.283981120752353	0.562315777267302	0.218518088467778	-0.646402765652819	0.239596693829807	0.187611698101167	-0.681740851573113	0.441160278452201	-0.525419683354909	-0.516115012367255	0.254742031062282	-0.535770805680382	0.273902335741037	-0.555711043161349	-0.519777910407116	0.259513057103509	0.294534147148532	0.226257144723579	0.495922210681836	-0.526208191691	0.288411067614822	0.538565009828706	-0.439959178930057	0.43442742788502	0.461562731400801	-0.692465667329604	-0.313876112707298	0.482493027224413	0.287904120109044	0.579187032215428	0.29325244730406	-0.759904908083932	-0.313537173500052	-0.18824025266359	0.377367046958087	0.52944109486542	0.537573775393041	0.238643795026292	-0.565368697938275	0.212080622432629	0.547479540401831	-0.664449103635989	-0.216739853898306	0.519386870909222	0.352611074063624	-0.292661666435978	-0.704563561975069	-0.327218689264033	-0.297745316858788	0.446035039782643	0.418510184598563
TIS up	0.230550947514263	0.414334838768594	-0.287659757853672	-0.283952754788765	0.544055247850161	0.348988073571644	-0.246593711668371	-0.283285669162328	0.356073264842838	0.494379427770227	0.489762827850178	-0.162203129067779	0.513212565958588	-0.337875685050365	0.240027469898416	0.365240644132347	0.17957838650983	0.43507835095926	0.184376079190106	0.176504681814925	-0.49153509392326	0.268768408282966	0.575039683838282	0.297617548196688	0.560510902013864	-0.334291337621735	0.389626023208854	0.442217053117369	-0.254182890443492	0.500799471537997	-0.242093731088479	0.209396873515196	0.420009598132401	-0.189022431306864	-0.456787943180582	-0.387576033651997	-0.247759548328445	-0.385994749699386	0.44909432925405	0.359223156284833	0.207277775302248	-0.169190186139743	0.301027690580675	0.357718188810159	-0.47975179394603	0.395360795176152	-0.479847116486238	0.4873860407069	-0.290537334631494	-0.382174369958929	0.552771169258331	0.448038427481367	-0.479493201422048	0.207562035627156	0.200937236883385	-0.294018619167103	0.511690238556512	-0.53353290750974	-0.237719582939349	-0.230476916822307	0.332931138690726	-0.231394251613258	-0.487496191894088	0.378696629771545	-0.329998602224905	-0.225670549600063	0.467033309506435	-0.541935755157967	-0.361433028171139	0.178319985858221	0.200516288707897	0.251533922384711	-0.502199246310394	-0.4516260161843	0.283831722568202	0.354901483752077	-0.412279876272104	0.417093628265465	-0.509230866273484	0.211794967370666	-0.388032603389881	-0.296921015556745	-0.227374764562752	0.229685580729946	0.538551308605527	-0.37822162981213	0.308439378867949	-0.204431391367058	-0.324533511262469	0.411528547164606	-0.442039187051308	0.253586944527691	0.53524886703691	-0.165636706726736	0.175241474390736	0.578261902434944	-0.445695084235773	-0.305649018604075	-0.384045855665289	0.355411087547536	-0.515093390289851	0.377319228302419	-0.304266950552832	-0.41195529285541	-0.500617643643227	0.195018313802542	-0.333391415513818	-0.545953094325395	0.200431889934834	-0.541872243283726	-0.186962020441178	0.610911016345126	-0.243160248835607	-0.423262119661838	-0.424395713874879	-0.449010935458401	-0.169463419233875	0.596518060588467	-0.231263880177146	0.349921610332224	-0.417885597933111	-0.420220158926695	-0.577961674943534	-0.50996007784204	-0.233076050529839	-0.344588655174859	-0.393568944510659	0.224215732447064	-0.327923095768833	-0.43027575120892	-0.366658682376226	-0.413308618111213	0.281594437220016	-0.240432280037474	0.371089101630728	-0.302665844043522	-0.290865290664048
FRIDMAN_SENESCENCE_DN	0.289521098860282	0.359567676768837	-0.295112542498167	-0.286764691638235	0.668379469210194	0.218700278510484	-0.450174037832243	0.442169335033199	0.340653831823424	0.546967247342807	0.609546593054233	-0.348175913743847	0.555176071234206	-0.263760530635941	-0.266610141779532	-0.374241478405641	-0.196929802772101	0.419055648471798	-0.281700235897253	0.315311200855347	-0.464724164892863	0.278989908385162	0.427391381137608	0.327025298232205	0.548752583502499	-0.438618594511295	0.494875948117569	0.476645951773934	-0.47807628420187	0.426907459695833	0.280141063940668	-0.278946660463616	0.583459088403141	-0.250540643136072	-0.311518516862071	-0.275372637615895	-0.308569780723915	-0.299294783334478	0.537958330606611	0.428670161622981	-0.386814580974632	-0.270865419928607	0.329397493963444	0.398595633772158	-0.467674098126385	0.35299031526409	-0.396237888453037	0.460686300939059	-0.349831615239056	-0.304945063577879	0.383445862428146	0.336159760000146	-0.496607632075399	-0.369133089369859	-0.382300491328753	-0.27534523412037	0.288548360918708	-0.595549909405217	-0.433451287926024	-0.32053805820723	0.586641660086559	-0.428527052100862	-0.620859491909898	0.258287117406814	-0.3493412576043	-0.423776316769264	0.31060099599474	-0.515146354735156	-0.369249984212952	0.360704844644686	0.35536673853089	0.203754611384179	-0.423517027871896	-0.466950626107089	0.288813542843156	0.275089643804817	-0.265173219797955	-0.318697849010942	-0.443331217555746	0.349066300546025	-0.481274982427235	0.274684065902946	-0.32769328433784	-0.342876344158184	0.555218537722541	-0.450925120892651	0.32396976902596	0.326906058746396	-0.451056139411087	0.461647931045196	-0.544311728686309	0.386381308320875	0.445915016211859	0.350653488766886	0.284591293656475	0.716667018250478	-0.402494473602308	-0.415369763748153	-0.415131648846555	0.266744521881048	-0.521140685746794	0.283889909460756	-0.290585977032599	-0.299538036748549	-0.372005861461312	0.325331141739319	-0.346933292421468	-0.575870914925981	-0.376987144672494	-0.541420296558719	0.386541073201419	0.640524368726738	-0.265845465457687	-0.572731139914369	-0.38532843652442	-0.422758984905757	-0.374278860219847	0.571873382631282	-0.512355493750094	-0.262436741932307	0.291102362051963	0.249147437071271	-0.410455075181622	-0.447216945663657	-0.285087506393449	-0.291903553596273	-0.268470765555084	-0.401805421608917	-0.321945499977853	0.351673963921242	-0.369257044857562	-0.394418361523842	-0.326055150177085	-0.282894363227258	0.393946604273434	-0.407040773091369	-0.222781898329177
FRIDMAN_SENESCENCE_UP	0.259233229644928	0.323691390212397	-0.239917377291911	-0.35715076265645	0.384489510362936	0.309083154385665	-0.246158384427239	-0.308002363360186	0.345398464691529	0.450228948544431	0.405672270363897	-0.300747632591907	0.343626539927472	-0.353734673637311	0.211465001042795	0.317988919827918	0.262382252686554	0.263649919983564	-0.227414129142902	-0.233150818364715	-0.450668189127763	0.225411887327965	0.542431596453389	0.322280305211066	0.428414202362081	-0.345133348259435	0.277656017468047	0.327642521725225	-0.27367100606302	0.439067865896101	-0.218232201842957	-0.238859294628594	0.307070873549659	-0.254711535632328	-0.515581498348972	-0.331898769428789	-0.281269382460436	-0.409087776508238	0.40217500180327	0.399757767473865	-0.253196535437184	-0.240942343329049	0.25613872200311	0.3866367540269	-0.428701918251273	0.37001659030315	-0.554782299657983	0.375638702060262	-0.370961653226002	-0.363571733640963	0.482429568649722	0.369317060375535	-0.540398509106207	-0.196757068063715	0.277357427448675	-0.223681787819064	0.447157667131866	-0.521637978162409	-0.315638220332741	-0.232028890227099	0.305710249739866	-0.215720817685864	-0.430140273909152	0.206683552584336	-0.251641337205885	-0.184227796769075	0.41232365369325	-0.468198774932127	-0.307661848782914	0.246465676042005	-0.198570718897437	0.300648494029854	-0.455219234355012	-0.333855234742539	0.274226595700847	0.343763882279668	-0.351973678916032	0.348713643061921	-0.44450811469718	0.258658920242337	-0.461923280912828	0.210242046393382	0.302169487879848	-0.251381072815359	0.513558378058241	-0.403268819128516	0.399656792764613	0.213230669292841	-0.239680691790106	0.376060405107601	-0.360020860712079	0.32451151085027	0.498876153405777	0.229856300269732	0.277788106764728	0.499285467609736	-0.325016590643653	-0.38874482741793	-0.395163610189944	0.350775017629125	-0.374754658135983	0.382573378538378	-0.271633742410443	-0.3493071892435	-0.466699277828329	0.216495591261248	-0.304011465193254	-0.5274036146726	0.219033396149289	-0.472157499564196	0.207221943552238	0.581255999224721	-0.314917676188402	-0.302325735362514	-0.316913154584474	-0.391676614028588	-0.204171267696942	0.504354960353797	-0.313371689671704	0.348757867154183	-0.354168609025786	-0.425174747514446	-0.503353679430305	-0.523182433241391	-0.293737744938584	-0.396619717503068	-0.372905734564553	0.410092416318984	-0.331902100599971	-0.421323684100984	-0.30967876143707	-0.441747813484897	0.318523126728312	0.308065693742297	0.260487865656374	-0.225445864732068	-0.348859638556035
REACTOME_CELLULAR_SENESCENCE	-0.312395763686446	-0.244802678484704	-0.180719395793719	0.321819012827806	-0.338082702438531	-0.273098718569783	-0.185931842619257	0.180276860643178	-0.186117696988302	-0.359049209490543	-0.325272490200735	0.222855125948323	-0.251218569862801	-0.339232312435477	-0.303362915144834	-0.31969169642115	-0.276534082314605	-0.282436202845956	-0.205106926821222	-0.214200796333435	0.36302525008358	-0.211559655698558	-0.223365817773368	-0.172195195278694	-0.341315604527015	-0.201638245066289	-0.278620817525993	-0.270858766894811	0.242885139968388	-0.246535390822388	-0.169078151805442	-0.194695332244528	-0.313096468411942	-0.218858976513558	0.204621369232198	-0.322546555901743	-0.236068420865283	-0.242089465229971	-0.202671141907106	-0.171349022441139	-0.352904762630138	-0.290415952195327	-0.321093763985613	-0.236176526225415	-0.265882667619573	-0.310834190547535	0.266207011846427	-0.245678415981445	-0.347369369071641	0.281360213714266	0.191880819256479	-0.342618374606575	0.188877563545343	0.210288975002898	-0.240341265376748	0.240863889418049	-0.307011192093434	0.173117390794237	-0.188987034336413	0.279082182682884	-0.27242721495762	-0.246502410311153	-0.203799903700697	0.215095728189768	-0.207722755820215	-0.320818387035789	-0.280609821603694	-0.204895987759484	0.384350930126162	0.24117295523246	0.228291753145448	0.198587985079416	0.217113301318605	0.268579791735551	-0.203980740522553	0.203705709740354	0.339763946931001	-0.249204140700012	0.242804921069517	0.235987095760957	0.340177118727252	0.184286316379922	0.184250548870253	0.211596750257817	-0.288887899104665	0.192509224967908	0.220922896381955	-0.200140051945482	-0.19823507554932	-0.222253908443006	0.189371509809161	0.206053698371962	-0.294177491850325	0.198017684079257	-0.219506015982716	-0.253192352095054	0.290809793474853	-0.368288374097298	-0.199369902568043	-0.265659373287683	-0.207447057684384	-0.323437158591575	0.255143919857712	0.167695518200429	-0.188451799751608	-0.207897662515985	-0.190675224905495	0.254583792912187	-0.210257561777239	0.299180665294212	0.22214071682579	-0.244639111681129	-0.194073129017894	0.280011961912448	0.337647277681734	0.209253920404834	0.178079141986598	-0.301116931785966	-0.199002413273862	-0.234277895223192	-0.202335347520342	0.210612437945914	0.316246698341028	0.270425283257162	-0.22877540021282	-0.203460921914905	0.269208675100986	-0.200747305404873	-0.215934277805334	0.258347721344392	-0.302187818535528	0.179012090477561	0.224947001233894	0.254249943241806	-0.2735384514749	0.264377037831059	0.228113096902635
