	GSM2601334	GSM2601335	GSM2601336	GSM2601337	GSM2601338	GSM2601339	GSM2601340	GSM2601341	GSM2601342	GSM2601343	GSM2601344	GSM2601345	GSM2601346	GSM2601347	GSM2601348	GSM2601349	GSM2601350	GSM2601351	GSM2601352	GSM2601353	GSM2601354	GSM2601355	GSM2601356	GSM2601357	GSM2601358	GSM2601359	GSM2601360	GSM2601361	GSM2601362	GSM2601363	GSM2601364	GSM2601365	GSM2601366	GSM2601367	GSM2601368	GSM2601369	GSM2601370	GSM2601371	GSM2601372	GSM2601373	GSM2601374	GSM2601375	GSM2601376	GSM2601377	GSM2601378	GSM2601379	GSM2601380	GSM2601381	GSM2601382	GSM2601383	GSM2601384	GSM2601385	GSM2601386	GSM2601387	GSM2601388	GSM2601389	GSM2601390	GSM2601391	GSM2601392	GSM2601393	GSM2601394	GSM2601395	GSM2601396	GSM2601397	GSM2601398	GSM2601399	GSM2601400	GSM2601401	GSM2601402	GSM2601403	GSM2601404	GSM2601405	GSM2601406	GSM2601407	GSM2601408	GSM2601409	GSM2601410	GSM2601411	GSM2601412	GSM2601413	GSM2601414	GSM2601415	GSM2601416	GSM2601417	GSM2601418	GSM2601419	GSM2601420	GSM2601421	GSM2601422	GSM2601423	GSM2601424	GSM2601425	GSM2601426	GSM2601427	GSM2601428	GSM2601429	GSM2601430	GSM2601431	GSM2601432	GSM2601433	GSM2601434	GSM2601435	GSM2601436	GSM2601437	GSM2601438	GSM2601439	GSM2601440	GSM2601441	GSM2601442	GSM2601443	GSM2601444	GSM2601445	GSM2601446	GSM2601447	GSM2601448	GSM2601449	GSM2601450	GSM2601451	GSM2601452	GSM2601453	GSM2601454	GSM2601455	GSM2601456	GSM2601457	GSM2601458	GSM2601459	GSM2601460	GSM2601461	GSM2601462	GSM2601463	GSM2601464	GSM2601465	GSM2601466	GSM2601467	GSM2601468	GSM2601469	GSM2601470
REACTOME_ONCOGENE_INDUCED_SENESCENCE	0.141380780546685	-0.19207076483483	-0.155487538043661	0.305495762663005	-0.0897328282089974	-0.37208166957295	0.0783871630334732	0.155477002853326	-0.168271926909621	-0.17091754805297	-0.432934747608371	0.17276986788822	-0.197119584644414	-0.297415605644335	-0.0909969399634701	-0.0511713484950362	-0.113164000188059	-0.301834932578255	-0.0802593763180207	-0.121086022326798	0.270362629835799	-0.322337948771278	-0.0697657720477772	-0.114489914543232	-0.125990450155862	-0.0056432649345533	-0.40945571954182	-0.0437717484330035	-0.0928184800182144	-0.144676636993643	-0.0103532893773926	0.307214483683065	-0.388516052849463	-0.0379658734152545	-0.355277814563826	-0.0518489847974611	-0.0105379082978763	0.00486776051368901	0.141394678193021	0.14078321257212	-0.341637257359262	-0.116832200759374	-0.108043826984858	0.0470524199892095	0.102559858058412	-0.255768977442423	0.0329196020365092	-0.318768957800102	-0.25967876842057	0.357467629896126	-0.194670747092712	-0.147481289416452	0.150912046587474	-0.236548873055184	0.130760234449496	0.216291514983105	-0.224079391036663	-0.0058507822868937	0.214209028105039	-0.00608355958245954	-0.322067716522849	-0.256334294141809	-0.432961962957007	-0.0163432922972689	0.0617441087834928	-0.467026447765415	-0.391428445891707	-0.240254794277515	0.063173253108405	-0.0308337841961279	0.0909022865889444	-0.0892724802047135	0.220249011019375	-0.0336919142081865	-0.0688098557304909	-0.170408318685645	-0.0399416159760677	-0.323233413709522	0.193038237993671	0.217379174926614	-0.0568078370516504	-0.122647731010957	0.143691715300961	-0.225908140419348	0.0335166410028289	0.158102699976768	-0.0419711795721082	0.111660931888333	-0.0811096339398208	-0.0935042283963971	-0.441141792389437	0.291838628433241	-0.133367162046655	0.293370897819543	-0.0940829494254438	0.0878428016496416	0.124117480788766	-0.464977439259016	-0.40061058867878	-0.172165470482871	0.0460570349505544	-0.246884230905093	-0.310473014970498	0.107728054765229	0.188050900796029	-0.231884460337299	0.0664514516573943	-0.218615659645946	-0.107840167696015	0.135683064449564	0.248062831592037	0.0762418719054302	-0.127765878642645	0.0370194312297864	0.358208103269659	0.294321894654468	0.395251423013513	-0.163982105783473	-0.169139295976378	0.0252796492739279	0.0229739690054912	0.0285704305218087	0.179779113820088	-0.195761833663962	-0.0518351918089582	-0.181614098082835	0.393797838303438	0.0986561690336927	-0.391504300828806	0.380991167190616	-0.27437230659214	-0.181227540914743	0.11609418523266	-0.190013526169939	0.0818699524642459	-0.156344198718501	-0.200428547905494
SASP	0.119471274708997	0.350499120080997	-0.278301073053753	-0.199844354190633	0.365977179128947	0.358045300366413	0.00133370524667345	-0.260963061517934	0.36471926388833	0.309081828370814	0.336320652838985	-0.202465401278567	0.407191149404821	-0.310845038742255	0.1198180935	0.0325817766666209	0.270464706844504	0.425575294533937	0.012340316849715	0.0996627459225593	-0.438672975104249	0.0756473520839108	0.493454763050459	0.339810087466382	0.442922786169539	-0.343230499493333	0.416467424984872	0.181857586536328	-0.137792958700333	0.4931866878066	-0.0644130910532497	-0.135529423871064	0.415597488761023	-0.112243474067046	-0.482396394045038	-0.271305336608646	-0.245800229370891	-0.378890284825335	0.506689255064529	0.352088072386967	-0.143493755957642	0.0246467154613822	0.100899773285191	0.249222513014406	-0.407342462899158	0.290291859921553	-0.402486401249147	0.393614423923825	-0.140256693948477	-0.41697037778122	0.59745827143259	0.331369946314503	-0.529089061293507	0.0647107639809748	-0.120029469374832	-0.257503730963442	0.224063574935219	-0.502092629851764	-0.29171156194844	-0.0914131098605966	0.185331559144171	-0.219324450761424	-0.344372595904481	0.0964047329402362	-0.0883961008708311	-0.108928275033707	0.414988746527219	-0.521012460426057	-0.152452432959209	0.167054765907634	0.0719404532378168	0.264707604863543	-0.528982497124524	-0.284245960741355	0.221725424038751	0.389053638707222	-0.240304665600856	0.514692732975319	-0.44010158437715	0.174468442055485	-0.124782215255399	-0.180166638013375	0.148709105014909	0.0151439447570441	0.452365720148816	-0.37333662940022	0.389058151320474	-0.154879013675265	-0.410402638701875	0.232412837284083	-0.373501203370974	0.454495016905328	0.546720848386731	-0.0949408758436849	0.137441296521461	0.373684675463753	-0.235448889229829	-0.229339190120846	-0.300747668500893	0.273601979318006	-0.477545164438114	0.255412427705364	-0.224480424311656	-0.426709132061673	-0.42184212159993	0.331337893208974	-0.0352466324284196	-0.532896884998733	0.0581544673577672	-0.50151890893446	-0.115901977070246	0.561053124074622	-0.291239652337242	-0.344904988655316	-0.430822912430443	-0.341990074623481	0.057637052290225	0.532849598156057	-0.0564920677690335	0.211743141369056	-0.343291251248497	-0.393919577053739	-0.523683812960242	-0.434499611528548	-0.0675051264525229	-0.267846427997507	-0.327824988616919	0.109015723804928	-0.119921527358028	-0.419668717498362	-0.185276068862474	-0.332227643119513	0.0810526796192865	0.0410756085087173	0.407955705679186	-0.0311487753846622	-0.0116851104862011
Senescence Associated Secretor Phenotype	-0.410891234857118	-0.37547916481296	-0.542327199497321	-0.462220086084133	-0.333154458343591	-0.375731878885151	-0.46880221164773	-0.515516010976079	-0.349289064088438	-0.359922882049141	-0.344308354667277	-0.507136459880557	-0.336874552573297	-0.547502911103627	-0.39705794426933	-0.34945187017198	-0.406638653688852	-0.34506815254333	-0.492314545333652	-0.445912875621007	-0.604592366206337	-0.4006361383348	-0.295436499523893	-0.390298561768335	-0.313931674832796	-0.494262276838173	-0.337076252840358	-0.38716000656874	-0.466916754443445	-0.297226461319041	-0.459417639283683	-0.498389830339338	-0.324459683036712	-0.463151695099979	-0.646814175029464	-0.516849474782383	-0.495004303932776	-0.567146162092337	-0.255431639685836	-0.311864881262397	-0.501215678116847	-0.473968050310297	-0.431886721421323	-0.425263912966608	-0.562100310384966	-0.388452490363991	-0.566806747952498	-0.301777153986999	-0.512726206958901	-0.570494992520663	-0.213743704415242	-0.340328913641038	-0.647135251069003	-0.440655264094868	-0.54093053133733	-0.483151027512333	-0.380676380742368	-0.623776166940847	-0.530547514526609	-0.470024682514205	-0.415789566326418	-0.49365445909492	-0.556167077167508	-0.367963173180765	-0.46022203323793	-0.495123462400976	-0.290033841795668	-0.631217506719584	-0.488409024886486	-0.426154703050322	-0.437560599115053	-0.398952653136483	-0.658538329607325	-0.573873677862701	-0.430210218160755	-0.351120783534158	-0.526399263581697	-0.27331427949978	-0.579555200753563	-0.461780723098956	-0.502893660140159	-0.494449838575811	-0.391418932024745	-0.457547399936708	-0.296966426760649	-0.540398328970637	-0.322648669814492	-0.508102792587876	-0.559270353035949	-0.345992256774923	-0.571765149582939	-0.307848776574776	-0.232397353666169	-0.458401546791444	-0.450954960267822	-0.302999656374249	-0.488909058982969	-0.447346457686241	-0.543974522396645	-0.374955640856858	-0.555842397047708	-0.352180474725887	-0.505062020771163	-0.552126628753435	-0.558557752066694	-0.347306455596908	-0.480378267461439	-0.624378517192109	-0.477822992187893	-0.653434000135231	-0.486977807666648	-0.233565723799019	-0.573553751528098	-0.529737879939344	-0.623786374306498	-0.547591730947902	-0.444046381860177	-0.260083821099033	-0.431312199311573	-0.378530428032233	-0.561534756639616	-0.539463620054827	-0.650841353546648	-0.588434878687075	-0.450811097460982	-0.513314931628408	-0.553583341769817	-0.411617360386899	-0.471234787059733	-0.581795594429475	-0.508719173075886	-0.507418895244724	-0.433230768374338	-0.451291548435458	-0.322118315314338	-0.495110767029995	-0.432870547797074
Senescence_UP	-0.266372715610916	-0.109194752396142	-0.1643265014493	-0.201283843125148	0.0481299559896761	-0.0242555869804653	-0.229738122577791	-0.302226562405398	0.0248831733480114	0.170664201670866	-0.131960648139573	-0.197668969502732	0.113968785119773	-0.231960838438725	-0.0528342517288488	-0.0207979031186285	-0.0999389683493358	0.150607879198757	-0.27430378467839	-0.0893117787373511	-0.389536072131029	0.131780501177377	0.235959974918052	-0.0919207911725834	0.119909203464908	-0.0922232855560457	-0.0114752601725042	0.188325533862402	-0.248342340847397	0.0114219424038243	-0.20457104445127	-0.0954567515206169	-0.123964584620384	-0.246982550408616	-0.0062154617634706	-0.295886004601099	-0.196983763387114	-0.191729873978834	-0.180009089512765	-0.0353455029654923	-0.0399152913952139	-0.242269307106617	-0.104009965092599	-0.106789604542805	-0.346753543369634	-0.0342293758343657	-0.377644540762361	0.037726563652054	-0.163683676449513	-0.299658232902293	0.195875299490292	0.0248144114387908	-0.244100698073521	-0.113561239324322	0.0250026629048759	-0.12466289139442	0.0590967234329267	0.0503645842650504	-0.0906204837907507	-0.0201225590674494	0.308794810486992	-0.188606648582685	-0.00159384073416105	0.0843959331829562	-0.083386833441372	0.0521170527760672	0.193422553935904	-0.057062919778437	0.150164187895523	0.172585757941095	0.0176443805139284	-0.242388184016749	0.0577647587420793	0.127684623107488	0.162916026409441	-0.112843588031522	-0.0147900372184161	0.0162857601279717	-0.133227566345404	-0.0307316803399234	0.0377042786918187	0.0213596058295763	-0.0696677815413503	0.325019336802342	0.0250509501023294	-0.253316596304912	0.155293038315272	-0.253171712271871	-0.138255831921161	0.137340471083388	0.0777683367411427	-0.0715205343914257	0.314703830865198	-0.224929542761361	0.178183259530732	0.166189893781071	-0.242191336048646	-0.451847250978332	-0.280919522464382	-0.131966233718412	-0.312635949538423	-0.0646224556566089	0.262514749443161	-0.0873427475698797	-0.168334049814175	0.0975347148005426	0.0334259372823466	-0.0734103607048471	0.129002438881855	-0.270580165408609	0.174797911931299	0.284745104757231	0.0746410288342075	0.0207315193512351	-0.0076649376683996	-0.0622555906686584	0.0797733225581689	0.420616912154947	0.0578306021211864	0.119980770724102	-0.0576002896281122	-0.224229982295528	-0.164230345521582	0.168522596462543	-0.0707505021433242	-0.0305850530310518	-0.108402843595914	-0.0813758380196635	-0.0613794767496217	-0.0142936574339926	-0.0976746216589907	-0.0644300119467946	0.223194400383189	0.0353164300744592	-0.157727824668317	0.235717956367708	-0.115856908214454
SUVARNESS	0.282175591089631	0.681853538843852	-0.605428617002476	-0.0884276482803333	0.599649624528531	0.378230029802437	-0.304938378873451	-0.210461228101659	0.497318637074995	0.544593560576453	0.648968975005021	-0.347980864578044	0.566138939040566	-0.315227495439186	0.278025554986891	0.353115280047615	0.314922882209557	0.526120167806261	0.113973708464681	0.123739770022121	-0.672069664836945	0.362047725784114	0.693786231757126	0.282769749598399	0.627268688952861	-0.580112201114119	0.443890491656409	0.45157643457678	0.190660555078573	0.638781190973403	0.109545321550532	0.31630131858184	0.487669502440738	-0.128055973235235	-0.465125776342883	-0.238874676597744	0.0743506861082303	-0.209099868834887	0.630610148975588	0.591840279204798	0.0919915429778251	0.363050254383329	0.442866118897469	0.427468131759933	-0.524896861673422	0.393159276574765	-0.615184402806475	0.692877145323403	-0.105678358978441	-0.214398666804257	0.707176623572951	0.486155216928555	-0.497494794912517	0.29289625304644	0.282882257630578	-0.38942825122716	0.653065305166763	-0.747452152414175	-0.29853396120513	0.271836493257206	0.495032908591121	0.218776160608108	-0.620027481927728	0.410303857443258	-0.354531621898184	-0.0874454154288361	0.640614138687678	-0.604301970007223	-0.387085324505331	0.186709491283861	-0.388959270970638	-0.331035801983343	-0.673184855879622	-0.377135260717062	0.348846073842421	0.507053776692273	-0.552340844848335	0.422784112015166	-0.617395730727644	-0.126485800034358	-0.454114524556296	-0.242163765322269	-0.0785107351668476	0.0310514760811885	0.677336053877221	-0.535276003461549	0.307723606533847	0.18751407656878	-0.446426178732071	0.178751694027289	-0.611824933326371	0.0707526943287348	0.548230599707782	-0.145563558350687	0.338022823968355	0.703801138543019	-0.506265973277542	-0.228484338111692	-0.440140581515307	0.555506850916835	-0.643763914629598	0.385787923836828	-0.0013558611089933	-0.711594076612864	-0.641889815009059	-0.00436972110823561	-0.446414383206803	-0.60551393425114	-0.172696831429956	-0.746654837158931	-0.507881761795388	0.800117503574704	-0.456335019031664	-0.440465701931695	-0.483545784193011	-0.561144431567882	0.0554165365259612	0.669555375469391	-0.458703670362926	0.432671323929046	-0.358213022773813	-0.636358482692917	-0.720556795667896	-0.764692171394275	-0.146175316361611	-0.504794412183658	-0.649528066063652	0.522543254137922	-0.212006489727476	-0.516794307189646	-0.171589769170617	-0.566822788908031	0.0595668573148053	0.108503569062203	0.288101726576191	0.0121714385127577	-0.45343815961455
TIS down	-0.622881756910143	-0.057466141232137	0.358081359578291	0.539738404149955	-0.515682366404012	-0.102757468464049	-0.0920335362321617	0.487410722648275	-0.25751808340369	-0.64240842724312	0.176127585354704	0.321801017472263	-0.527318352175668	-0.346164275406431	0.0388976828987271	-0.677493350896405	-0.0899754284858123	-0.313331908861042	0.527613594836672	0.321786593301191	0.464234773059695	0.0841373687017678	-0.637175925304	0.266844853482447	-0.749160054273301	0.338004147909322	0.268300926963803	-0.738161410270719	0.0110875185164847	-0.547008478829732	0.497784961622473	-0.0226760640205408	-0.233820356357649	-0.518240939824769	0.286544237654073	-0.0431857666966066	0.395075833993134	0.415959507416606	0.429838602743387	-0.201347412007245	0.365360256048965	-0.306470642956995	-0.478659460190251	-0.096700386628281	0.0248294146040542	-0.128710594712537	0.606547000768474	-0.412614696794487	0.441600867046884	0.654439665633018	-0.44744188224461	-0.721130162686151	0.523544293047427	-0.289625190967891	0.36405497060979	0.38089220912212	-0.393468526304519	0.367547472905536	-0.517354262072177	0.475081017770645	0.325525817750594	0.137655781314304	0.386357981193765	-0.653874563409317	0.453191354939717	-0.47202999584386	-0.659371446330581	-0.400504288505155	0.550805456020629	0.0949867776878076	0.217496971984462	0.202684428601034	0.608476654683423	0.228137194022259	0.333663915376852	-0.430238216510793	0.452779864482307	-0.624201115051474	0.408284711472522	0.0828528713695142	0.449425352379856	0.258446828345157	-0.397413502459634	-0.573843073401572	-0.606343233158058	0.245979485156447	-0.22931444961569	0.562215148336484	0.0983765471084494	-0.644138614709631	0.158630021818773	0.0295325070911938	-0.681539593711694	0.432897712847381	-0.521797041845645	-0.514555263939777	0.16252762102588	-0.535569547818954	0.216809890605748	-0.554352552595509	-0.514917064015189	0.113175911962475	0.239643496294712	0.123844106784493	0.48646309118498	-0.523235067365683	0.221519174339912	0.526087022407323	-0.434001719115582	0.432030797188209	0.459909397798299	-0.691056862298376	-0.300156672130402	0.476890115918145	0.186435634809552	0.577426025926119	0.2585813503888	-0.759804279153338	-0.274955791636338	-0.0279103189277313	0.371185908957105	0.524110241452415	0.517339327690259	0.140641921399912	-0.564764924353576	0.0667700297461185	0.538604361668078	-0.661983694831167	-0.0778113442088682	0.504807536414992	0.341732653097002	-0.223931749777272	-0.704102221669292	-0.310501452254917	-0.240896397038751	0.435453087194267	0.415340373277808
TIS up	0.128787816716148	0.40708031890549	-0.263668578486863	-0.276719179906813	0.541876929714396	0.34120136031115	-0.164020831656635	-0.240559237346985	0.349293096130667	0.47918185938117	0.488344388133866	-0.0157027967300434	0.510882272138932	-0.337571733682658	0.167045956996584	0.34296304424639	0.0421339028935357	0.433811886926839	0.0560047915321197	0.0435332793565213	-0.485964083932598	0.157695035576869	0.574989025276986	0.284247812023939	0.559345755104037	-0.327117809527941	0.383973406502773	0.440038734981604	-0.214586352337509	0.494315175691999	-0.154531698733037	0.0602052562287292	0.413272009479919	-0.062697602063809	-0.441306746980813	-0.383144195481732	-0.232391909302187	-0.378851892556675	0.445750864208458	0.322559823540566	0.0748351115714516	-0.0507542933648496	0.247484554853427	0.348936636991665	-0.477693440875966	0.389129792136639	-0.474710050231253	0.486833052243523	-0.250936577816871	-0.380046710384606	0.551150095296832	0.44089557033851	-0.477767139311466	0.0813672057056163	0.03946533504384	-0.248314147563037	0.510221140278903	-0.532823687651581	-0.0923537924103409	-0.085850454981336	0.292582296347683	-0.116977174573348	-0.485633037804544	0.325211628922207	-0.318221658830269	-0.147433027549477	0.45392058218062	-0.541277193861099	-0.352669772242592	0.0570032255710624	0.00999553188309554	0.130269571026842	-0.486294252455768	-0.448726191156659	0.217583912520025	0.343296514130164	-0.403769237974364	0.414206090271544	-0.506941653864989	0.112317825995138	-0.370704302891583	-0.226506069619626	-0.0898518200518145	0.021846254195605	0.53657562471495	-0.376955165779821	0.229644718187634	-0.0748726033784614	-0.27553915232727	0.410869985867746	-0.438797039128459	0.137887234871268	0.534691622862644	-0.00206803623253071	0.0279777452002627	0.577734168803628	-0.443060839048492	-0.285182417361061	-0.377129687486363	0.350493578778813	-0.511448180050044	0.373165226276077	-0.277551968629314	-0.41170200004908	-0.49965513097877	0.0677970136994425	-0.315956237734572	-0.54544650871241	0.0631236833190554	-0.53170551164954	-0.0590752551060857	0.610049820803079	-0.0928627761418313	-0.422133884670905	-0.417294357878343	-0.447564027759235	-0.0245558729071854	0.595380381356597	-0.0625581216134351	0.311397090033783	-0.4157579383588	-0.418599084965351	-0.577201796524021	-0.509858760719589	-0.145538820112618	-0.336152640934484	-0.386190592859506	0.0892182462666765	-0.317543731981344	-0.421609074463201	-0.365746828272971	-0.413105983866177	0.207157009512689	-0.136508615158848	0.35707439833992	-0.301652672817624	-0.268875255658028
FRIDMAN_SENESCENCE_DN	0.183319275414477	0.212416799924488	-0.159381315773357	-0.205166716300201	0.661871445960157	0.0483987235400551	-0.387975220206	0.30740866794548	0.134664759640531	0.497441058610117	0.537709939469851	-0.220600643836442	0.531975713541325	-0.0424036060633338	-0.180565132091905	-0.187585799933176	-0.0731303408382658	0.357470675426093	-0.111250348471064	0.155988830146428	-0.448230548717183	0.0899165293647445	0.304160053089536	0.317834578375282	0.49402379796112	-0.413480733713501	0.491149980608006	0.330158338334792	-0.413691565636625	0.382295208714662	0.0906797748919551	-0.165826286873232	0.536114461248289	-0.0815653565241872	-0.140386506626603	-0.128841982980047	-0.0900396850684637	-0.125742667412981	0.496525571900266	0.298396985662073	-0.234807484834216	-0.15650305716833	0.103499701854788	0.352642034487543	-0.456794272998527	0.243884785199719	-0.13743985383451	0.31986169974523	-0.14873332544287	-0.0524987794404672	0.315373650102437	0.196192504362556	-0.311466024109794	-0.315644247058559	-0.229847269832215	-0.169147623350063	0.172156848324115	-0.522371907517252	-0.357469705312216	-0.188624511328248	0.558075909179907	-0.369588308980795	-0.497717142639411	0.0471702559124497	-0.210859009582597	-0.401023075177607	0.065641510487567	-0.51400372469895	-0.245709734443777	0.300639477885388	0.24277814897183	0.0752816488736487	-0.356316389122496	-0.404506310979386	0.149133807154093	0.0353829247640267	-0.0463631308978893	-0.0696681048326752	-0.300920308580609	0.199872487029655	-0.382810081041229	0.0508373745035005	-0.122815399935487	-0.183359350408215	0.54950538754121	-0.383131675339333	0.146017574002277	0.181909533135816	-0.376015751664165	0.354773122544128	-0.50163576571555	0.325098743552364	0.340443611269729	0.183085260028611	0.100940187924942	0.710606111101588	-0.290756691908451	-0.281234933403915	-0.359237477879293	0.00118277535106742	-0.428660230363405	0.13842437599484	-0.0972337902262633	-0.133047668767168	-0.35292890781229	0.209714959433304	-0.168693966722579	-0.507509607796524	-0.158011818192649	-0.425938119955804	0.188643509934894	0.556084406399455	-0.00733317089592028	-0.544662184675596	-0.165845768566095	-0.346772848324652	-0.277163030246873	0.452437125586785	-0.418259562911822	-0.0885416401528524	0.154472836142749	0.0338823990554315	-0.225807961524123	-0.442099950283882	-0.0733994651206331	-0.221804655617845	-0.134697873796861	-0.312283937698919	-0.188935511275364	0.0403902937659867	-0.203221828972676	-0.318408624328771	-0.0754482271713633	-0.13371819015293	0.173688348728931	-0.334754618966768	-0.0679259394013964
FRIDMAN_SENESCENCE_UP	0.0801307301413523	0.189783000158016	-0.107731745045389	-0.356203887344918	0.339419683602791	0.23209591086151	-0.0909924077555073	-0.207694241382657	0.270773215681863	0.435532534905968	0.388827856928235	-0.275560192683633	0.250667330411141	-0.324706421810541	0.0460491967527107	0.243523942261193	0.134830176195594	0.194088718273139	-0.0926650330804999	-0.106967336620658	-0.43940188361829	0.0215055710605446	0.539690641604391	0.240207222241831	0.418347422734851	-0.317054833866424	0.15763349015784	0.257691621548873	-0.140488596559156	0.408075326326746	-0.112472490506208	-0.0653146009463041	0.162031416151222	-0.157496218811422	-0.513256258423557	-0.280156050327937	-0.170932320266677	-0.393716160093753	0.386274529672426	0.366789781725569	-0.0985823470677632	-0.103801299891835	0.10876377226499	0.36004441023261	-0.424067212779212	0.301594462303182	-0.553287233376759	0.334717484122054	-0.320617139512739	-0.336318420704883	0.459581119893204	0.34509090499673	-0.525148833037223	-0.00541109073487203	0.150247478521574	-0.0409282802650132	0.441576086348452	-0.506755502501763	-0.166960223352297	-0.114971797282826	0.216741284896582	-0.0380765819809754	-0.413644709272331	0.00641664577270745	-0.208403394275323	-0.0717030151185312	0.349498457586513	-0.462857126942759	-0.239840595324416	0.162617834463429	-0.00020198709960273	0.184287811861624	-0.437010697964566	-0.258407720421789	0.244820869624415	0.306468939632734	-0.306528544262668	0.273511417329024	-0.414769297671741	0.158410866010554	-0.445306354246986	0.0238416200008169	0.239654323733277	-0.0466190873771893	0.511814134063424	-0.375304166577443	0.368579777768957	0.043257781040111	-0.0661676334613215	0.334009661870284	-0.33866464809081	0.197267058721367	0.48773855681127	0.0643062317070051	0.151499493623852	0.462576655184126	-0.256568969666771	-0.340553857618238	-0.393419366195027	0.336803778548886	-0.326728370913599	0.342820140353704	-0.171549943345665	-0.343974786173559	-0.455162973294315	0.1075178109528	-0.220061958573395	-0.526656081531873	0.0911539889213794	-0.462808234278015	0.0934866572535415	0.571587903939163	-0.21248843896613	-0.233989216695824	-0.249951016613816	-0.36826633105609	-0.0282614750496369	0.501962854303763	-0.175345474611905	0.255324290349021	-0.353819760226771	-0.412865368465211	-0.462444143190386	-0.522434900100654	-0.222314339196912	-0.37759173196687	-0.357967516384878	0.38051836517276	-0.309924626265225	-0.391856447513989	-0.24625167132815	-0.433873797736784	0.26747499838632	0.248311080012726	0.147577347077743	-0.125967413821474	-0.335295316842028
REACTOME_CELLULAR_SENESCENCE	-0.228564492953833	-0.181187365089528	-0.0393156042249299	0.231454355350311	-0.313130234763435	-0.207414782774074	-0.0215246851751479	0.0208329133342698	-0.044063350516729	-0.34520742281367	-0.311175493203694	0.0632518617562056	-0.136218957847846	-0.328819296165024	-0.280921269845846	-0.2967556287069	-0.180925748475871	-0.230405781975557	-0.0374811328655066	-0.0789755845436435	0.311955213471837	-0.135089315092098	-0.129019573907714	-0.00809907570237939	-0.317272661723696	-0.030939067356247	-0.204317715867768	-0.180183861076662	0.110830623068609	-0.125059226372682	-0.0119869726669877	-0.0312983426053897	-0.278823509265175	-0.096440631317835	0.049323402019283	-0.274573921738976	-0.102973224158614	-0.11514118446184	-0.0315098149961469	-0.000346092190553815	-0.317129438170642	-0.216574009996701	-0.280515131905668	-0.165875988342506	-0.167267535415157	-0.27419619438072	0.164894621599407	-0.147636870963257	-0.270867150002792	0.148226587237481	0.0121474340965902	-0.338460974867129	0.00780236370410786	0.0260744717074439	-0.076820450184273	0.120891081098214	-0.249990499296343	0.00365286666823758	-0.00384287807947814	0.191651874892537	-0.209848248098555	-0.124083228725152	-0.0503700584649737	0.0474453170888	-0.0470107276807695	-0.287738131052156	-0.158835375085417	-0.066628386610855	0.310243220802623	0.123921117687055	0.110822104896372	0.0215759612954075	0.0809456088541707	0.127677974837887	-0.0509629399810686	0.044289788377849	0.237061506691205	-0.125299307184112	0.129575701529883	0.125402580498092	0.301278234225557	0.0327451544553478	0.053924536846722	0.0776674929218202	-0.188274983482565	0.0337752351747562	0.064832632123774	-0.00140705677960132	-0.0585360271620313	-0.0561580011924034	0.00585246903366737	0.026719979094944	-0.213101158351426	0.0190333313855008	-0.0729967514398109	-0.142291406265507	0.168754738153467	-0.366135683233559	-0.0806712160492142	-0.175251617008374	-0.0656313637210795	-0.277646506532999	0.118767838354137	0.0237857098935583	-0.0139495426687198	-0.0824648162577788	-0.0415344884276214	0.150034082279904	-0.0719844118732667	0.203499405320214	0.0892394584929352	-0.148217735251326	-0.0675193505816014	0.185813001255307	0.258420332596948	0.07170929357936	0.00339078391300385	-0.193413217885074	-0.0721626614667588	-0.11144260808084	-0.0440395637753168	0.0622208820081248	0.217418012695611	0.154992165737913	-0.0865361430881645	-0.0907361997781805	0.173788597458977	-0.0248813138830597	-0.0920225859956921	0.158557722998538	-0.255186411629506	0.0387945163990444	0.0698806653335638	0.150890931624107	-0.141169471864136	0.175052327760419	0.0825418794463641
