	Symbol	Entrez	Description	Signature	SignatureID	Name	Ensembl	Genbank	Unigene	MetaSignature	Key	References	PubmedID	SelectionCriteria	Organism	HugoSymbol	Source	Database	taxid	ProbeID	logFC	P.Value	adj.P.Val	AveExpr	t	HomoloGeneRelease	ID	Function	EnsemblID	UnigeneID	GenbankID	Notes	NamePaper	FoldChange
74467	MAP1B	4131	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	microtubule associated protein 1B	ENSG00000131711	AAA18904	Hs.335079	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	MAP1B	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74468	TK1	7083	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	thymidine kinase 1	ENSG00000167900	AA633286	Hs.515122	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TK1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74469	BUB1	699	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	BUB1 mitotic checkpoint serine/threonine kinase	ENSG00000169679	AAB97855	Hs.469649	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	BUB1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74470	QPCT	25797	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	glutaminyl-peptide cyclotransferase	ENSG00000115828	AAH36721	Hs.79033	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	QPCT	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74471	PTTG3P	26255	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	pituitary tumor-transforming 3, pseudogene	ENSG00000213005	AAC64411	Hs.647156	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PTTG3P	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74472	ZFY	7544	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	zinc finger protein, Y-linked	ENSG00000067646	AAA61310	Hs.522845	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	ZFY	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74473	NUSAP1	51203	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	nucleolar and spindle associated protein 1	ENSG00000137804	AAF24034	Hs.615092	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	NUSAP1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74474	CENPE	1062	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	centromere protein E	ENSG00000138778	AA210728	Hs.75573	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CENPE	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74475	TFAM	7019	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	transcription factor A, mitochondrial	ENSG00000108064	AAA59849	Hs.594250	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TFAM	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74476	FOSL2	2355	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	FOS like 2, AP-1 transcription factor subunit	ENSG00000075426	AAH22791	Hs.220971	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	FOSL2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74477	NCAPG	64151	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	non-SMC condensin I complex subunit G	ENSG00000109805	AAG30732	Hs.567567	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	NCAPG	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74478	HIST1H2AL	8332	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	histone cluster 1 H2A family member l	ENSG00000276903	AAH69306	Hs.233568	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	HIST1H2AL	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74479	KIF20A	10112	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	kinesin family member 20A	ENSG00000112984	AAC83230	Hs.718626	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	KIF20A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74480	KIF20B	9585	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	kinesin family member 20B	ENSG00000138182	AAB88727	Hs.240	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	KIF20B	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74481	CDK1	983	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cyclin dependent kinase 1	ENSG00000170312	AA459484	Hs.732435	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CDK1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74482	NUP62	23636	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	nucleoporin 62	ENSG00000213024	AAH03663	Hs.574492	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	NUP62	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74483	CDC25A	993	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cell division cycle 25A	ENSG00000164045	AAA58415	Hs.437705	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CDC25A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74484	PPL	5493	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	periplakin	ENSG00000118898	AAC17738	Hs.192233	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PPL	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74485	KIF4A	24137	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	kinesin family member 4A	ENSG00000090889	AAD05492	Hs.648326	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	KIF4A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74486	OR1E1	8387	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	olfactory receptor family 1 subfamily E member 1	ENSG00000180016	AAA17447	Hs.278485	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	OR1E1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74487	PTTG1	9232	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	pituitary tumor-transforming 1	ENSG00000164611	AAC64409	Hs.350966	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PTTG1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74488	MRE11A		TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN					TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	MRE11A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74489	ADARB1	104	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	adenosine deaminase, RNA specific B1	ENSG00000197381	AAB18134	Hs.474018	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	ADARB1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74490	EXOSC9	5393	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	exosome component 9	ENSG00000123737	AAA18832	Hs.91728	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	EXOSC9	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74491	BIRC5	332	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	baculoviral IAP repeat containing 5	ENSG00000089685	AAC51660	Hs.744872	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	BIRC5	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74492	CTH	1491	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cystathionine gamma-lyase	ENSG00000116761	AAB24699	Hs.19904	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CTH	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74493	PBK	55872	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	PDZ binding kinase	ENSG00000168078	AAF69107	Hs.104741	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PBK	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74494	TCF4	6925	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	transcription factor 4	ENSG00000196628	AAA60310	Hs.605153	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TCF4	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74495	SPAG5	10615	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	sperm associated antigen 5	ENSG00000076382	AAD02813	Hs.514033	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	SPAG5	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74496	NRGN	4900	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	neurogranin	ENSG00000154146	AAB49458	Hs.524116	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	NRGN	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74497	SMC4	10051	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	structural maintenance of chromosomes 4	ENSG00000113810	AAC72361	Hs.58992	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	SMC4	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74498	TPX2	22974	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TPX2, microtubule nucleation factor	ENSG00000088325	AAD33965	Hs.244580	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TPX2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74499	CCNA2	890	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cyclin A2	ENSG00000145386	AAI04784	Hs.58974	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CCNA2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74500	PRC1	9055	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	protein regulator of cytokinesis 1	ENSG00000198901	AAC02688	Hs.366401	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PRC1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74501	CDC20	991	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cell division cycle 20	ENSG00000117399	AAA19017	Hs.524947	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CDC20	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74502	TTK	7272	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TTK protein kinase	ENSG00000112742	AAH00633	Hs.169840	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TTK	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74503	UBE2C	11065	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	ubiquitin conjugating enzyme E2 C	ENSG00000175063	AAB53362	Hs.93002	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	UBE2C	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74504	LMNB1	4001	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	lamin B1	ENSG00000113368	AAA36162	Hs.89497	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	LMNB1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74505	EZH2	2146	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	enhancer of zeste 2 polycomb repressive complex 2 subunit	ENSG00000106462	AAC50591	Hs.444082	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	EZH2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74506	CENPA	1058	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	centromere protein A	ENSG00000115163	AAA57416	Hs.1594	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CENPA	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74507	KIF23	9493	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	kinesin family member 23	ENSG00000137807	AA291944	Hs.270845	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	KIF23	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74508	FBXO5	26271	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	F-box protein 5	ENSG00000112029	AAF04469	Hs.520506	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	FBXO5	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
