Symbol	Entrez	Name	Organism	HugoSymbol	Signature	logFC	adj.P.Val	CoreEnrichment
Cxcl5	20311	chemokine (C-X-C motif) ligand 5	mouse	CXCL6	TIS up	2.898634	0.00001117742	
Lcn2	16819	lipocalin 2	mouse	LCN2	TIS up	2.859644	0.00009543038	
Ms4a6d	68774	membrane-spanning 4-domains, subfamily A, member 6D	mouse	MS4A6A	TIS up	2.814994	0.00003470333	
Cald1	109624	caldesmon 1	mouse	CALD1	TIS up	2.778007	0.00003718422	
Mmp13	17386	matrix metallopeptidase 13	mouse	MMP13	TIS up	2.746994	0.0004901297	
Prl2c2	18811	prolactin family 2, subfamily c, member 2	mouse		TIS up	2.623998	0.000002789365	
Fkbp9	27055	FK506 binding protein 9	mouse	FKBP9	TIS up	2.584913	0.0001227204	yes
Fn1	14268	fibronectin 1	mouse	FN1	TIS up	2.555608	0.00002247779	
Tm4sf1	17112	transmembrane 4 superfamily member 1	mouse	TM4SF1	TIS up	2.520573	0.00005289661	
Ahnak2	100041194	AHNAK nucleoprotein 2	mouse	AHNAK2	TIS up	2.50079	0.0000000008096004	
Lox	16948	lysyl oxidase	mouse	LOX	TIS up	2.463017	0.00005308203	
Ctgf	14219	connective tissue growth factor	mouse	CTGF	TIS up	2.453915	0.00004456888	
Efemp1	216616	epidermal growth factor-containing fibulin-like extracellular matrix protein 1	mouse	EFEMP1	TIS up	2.433929	0.0006730466	
Grb10	14783	growth factor receptor bound protein 10	mouse	GRB10	TIS up	2.411149	0.0000002656742	
Acod1	16365	aconitate decarboxylase 1	mouse	ACOD1	TIS up	2.394205	0.001130354	
Cpe	12876	carboxypeptidase E	mouse	CPE	TIS up	2.393632	0.000251804	
Pclaf	68026	PCNA clamp associated factor	mouse	PCLAF	TIS down	-2.377645	0.0000000001800223	
Mmp12	17381	matrix metallopeptidase 12	mouse	MMP12	TIS up	2.371496	0.001688357	
Ptgs2	19225	prostaglandin-endoperoxide synthase 2	mouse	PTGS2	TIS up	2.361145	0.0004984336	
Cxcl1	14825	chemokine (C-X-C motif) ligand 1	mouse	CXCL2	TIS up	2.361029	0.00004515191	
Bgn	12111	biglycan	mouse	BGN	TIS up	2.348309	0.0001124562	
