[Metadata]								
schema	generic_experiment							
schema_version	v1							
title	Example generic experiment							
description	This is an example for a generic experiment.							
								
[Custom Fields]								
key	annotatedEntity	docs	type	minimum	maximum	unit	choices	pattern
extractionType	bioSample	extraction type	string	0	0	0	0	0
								
								
[Data]								
patientName	sampleName	isTumor	extractionType	libraryType	folderName			
RP_AB3988	S1	N	DNA	WES	CH_JK_002			
RP_AB5325	S1	N	DNA	WES	CH_JK_001			
RP_AB5529	S1	N	DNA	WES	CH_JK_011			
RP_AB5766	S1	N	DNA	WES	CH_JK_013			
RP_AB6054	S1	N	DNA	WES	CH_JK_012			
RP_AB6158	S1	N	DNA	WES	CH_JK_018			
RP_AB6165	S1	N	DNA	WES	CH_JK_003			
RP_AB6397	S1	N	DNA	WES	CH_JK_005			
RP_AB6614	S1	N	DNA	WES	CH_JK_004			
RP_AB6619	S1	N	DNA	WES	CH_JK_016			
NR_AB6740	S1	N	DNA	WES	CH_JK_021			
NR_AB6836	S1	N	DNA	WES	CH_JK_015			
NR_AB6934	S1	N	DNA	WES	CH_JK_022			
NR_AB7018	S1	N	DNA	WES	CH_JK_020			
NR_AB7055	S1	N	DNA	WES	CH_JK_019			
NR_AB7067	S1	N	DNA	WES	CH_JK_006			
NR_AB7069	S1	N	DNA	WES	CH_JK_007			
NR_AB7091	S1	N	DNA	WES	CH_JK_014			
NR_AB7454	S1	N	DNA	WES	CH_JK_024			
NR_AB7458	S1	N	DNA	WES	CH_JK_023			
RESISTANT_AB7467	S1	N	DNA	WES	CH_JK_025			
RESISTANT_AB7822	S1	N	DNA	WES	CH_JK_008			
RESISTANT_AB8645	S1	N	DNA	WES	CH_JK_017			
RESISTANT_AB9842	S1	N	DNA	WES	CH_JK_009			
RESISTANT_AC2466	S1	N	DNA	WES	CH_JK_027			
RESISTANT_AC690	S1	N	DNA	WES	CH_JK_026			
RESISTANT_BC1590	S1	N	DNA	WES	CH_JK_010			
CONTROL_C57BI6_female	S1	N	DNA	WES	CH_JK_028			
